Trace1,,
Freq,,Amp
881666585,Hz,-65.58
881999918,Hz,-64.08
882333251,Hz,-64.62
882666584,Hz,-64.45
882999917,Hz,-64.95
883333250,Hz,-65.02
883666583,Hz,-65.42
883999916,Hz,-65.53
884333249,Hz,-59.64
884666582,Hz,-52.09
884999915,Hz,-48.85
885333248,Hz,-48.44
885666581,Hz,-49.19
885999914,Hz,-51.43
886333247,Hz,-59.38
886666580,Hz,-65.49
886999913,Hz,-64.95
887333246,Hz,-64.48
887666579,Hz,-65.03
887999912,Hz,-64.94
888333245,Hz,-65.26
888666578,Hz,-65.01
888999911,Hz,-65.77
889333244,Hz,-58.2
889666577,Hz,-51.39
889999910,Hz,-47.55
890333243,Hz,-47.25
890666576,Hz,-47.57
890999909,Hz,-50.21
891333242,Hz,-58.71
891666575,Hz,-64.83
891999908,Hz,-64.39
892333241,Hz,-65.43
892666574,Hz,-65.04
892999907,Hz,-65.32
893333240,Hz,-63.89
893666573,Hz,-64.72
893999906,Hz,-64.01
894333239,Hz,-56.2
894666572,Hz,-47.72
894999905,Hz,-45.06
895333238,Hz,-44.81
895666571,Hz,-45.24
895999904,Hz,-47.85
896333237,Hz,-57.54
896666570,Hz,-65.08
896999903,Hz,-66.02
897333236,Hz,-64.34
897666569,Hz,-65.63
897999902,Hz,-64.91
898333235,Hz,-64.76
898666568,Hz,-64.44
898999901,Hz,-64.31
899333234,Hz,-53.98
899666567,Hz,-46.66
899999900,Hz,-43.5
900333233,Hz,-43.16
900666566,Hz,-43.7
900999899,Hz,-46.56
901333232,Hz,-55.79
901666565,Hz,-62.98
901999898,Hz,-64.27
902333231,Hz,-64.57
902666564,Hz,-64.39
902999897,Hz,-65.3
903333230,Hz,-65.41
903666563,Hz,-65.11
903999896,Hz,-64.4
904333229,Hz,-52.59
904666562,Hz,-44.56
904999895,Hz,-41.05
905333228,Hz,-40.87
905666561,Hz,-41.21
905999894,Hz,-43.43
906333227,Hz,-53.92
906666560,Hz,-64.27
906999893,Hz,-64.89
907333226,Hz,-64.37
907666559,Hz,-65.22
907999892,Hz,-64.06
908333225,Hz,-65.33
908666558,Hz,-65.34
908999891,Hz,-63.89
909333224,Hz,-51.18
909666557,Hz,-43.77
909999890,Hz,-40.22
910333223,Hz,-40.04
910666556,Hz,-40.57
910999889,Hz,-43.51
911333222,Hz,-52.61
911666555,Hz,-64.82
911999888,Hz,-65.65
912333221,Hz,-65.04
912666554,Hz,-64.54
912999887,Hz,-63.95
913333220,Hz,-64.25
913666553,Hz,-65.96
913999886,Hz,-63.33
914333219,Hz,-52.29
914666552,Hz,-44.59
914999885,Hz,-41.13
915333218,Hz,-40.94
915666551,Hz,-41.46
915999884,Hz,-44.15
916333217,Hz,-53.95
916666550,Hz,-65.09
916999883,Hz,-66.1
917333216,Hz,-65.74
917666549,Hz,-65.47
917999882,Hz,-64.51
918333215,Hz,-65.15
918666548,Hz,-63.79
918999881,Hz,-64.73
919333214,Hz,-53.26
919666547,Hz,-45.68
919999880,Hz,-42.03
920333213,Hz,-41.98
920666546,Hz,-42.31
920999879,Hz,-44.83
921333212,Hz,-55.13
921666545,Hz,-64.88
921999878,Hz,-65.25
922333211,Hz,-65.85
922666544,Hz,-65.68
922999877,Hz,-65.34
923333210,Hz,-63.59
923666543,Hz,-66.38
923999876,Hz,-64.81
924333209,Hz,-53.1
924666542,Hz,-45.48
924999875,Hz,-41.96
925333208,Hz,-41.55
925666541,Hz,-42.43
925999874,Hz,-44.71
926333207,Hz,-55.17
926666540,Hz,-64.33
926999873,Hz,-65.3
927333206,Hz,-65.53
927666539,Hz,-64.18
927999872,Hz,-62.71
928333205,Hz,-65.01
928666538,Hz,-64.94
928999871,Hz,-64.83
929333204,Hz,-51.08
929666537,Hz,-43.31
929999870,Hz,-39.99
930333203,Hz,-39.84
930666536,Hz,-40.08
930999869,Hz,-42.88
931333202,Hz,-53.06
931666535,Hz,-65.76
931999868,Hz,-64.93
932333201,Hz,-66.08
932666534,Hz,-65.73
932999867,Hz,-64.02
933333200,Hz,-66
933666533,Hz,-66.09
933999866,Hz,-62.46
934333199,Hz,-50.1
934666532,Hz,-42.73
934999865,Hz,-39.27
935333198,Hz,-38.98
935666531,Hz,-39.31
935999864,Hz,-42.1
936333197,Hz,-51.94
936666530,Hz,-63.78
936999863,Hz,-64.68
937333196,Hz,-65.42
937666529,Hz,-65.13
937999862,Hz,-64.43
938333195,Hz,-65.8
938666528,Hz,-65.61
938999861,Hz,-62.44
939333194,Hz,-51.35
939666527,Hz,-43.4
939999860,Hz,-39.84
940333193,Hz,-39.79
940666526,Hz,-40.19
940999859,Hz,-42.95
941333192,Hz,-52.9
941666525,Hz,-63.74
941999858,Hz,-65.02
942333191,Hz,-65.14
942666524,Hz,-64.75
942999857,Hz,-64.73
943333190,Hz,-65.12
943666523,Hz,-64.32
943999856,Hz,-62.83
944333189,Hz,-52.16
944666522,Hz,-44.35
944999855,Hz,-40.93
945333188,Hz,-40.81
945666521,Hz,-41.23
945999854,Hz,-43.96
946333187,Hz,-53.5
946666520,Hz,-65.5
946999853,Hz,-65.7
947333186,Hz,-64.71
947666519,Hz,-65.12
947999852,Hz,-64.98
948333185,Hz,-65.52
948666518,Hz,-64.32
948999851,Hz,-62.57
949333184,Hz,-52.19
949666517,Hz,-44.96
949999850,Hz,-41.5
950333183,Hz,-41.23
950666516,Hz,-41.69
950999849,Hz,-44.1
951333182,Hz,-54.24
951666515,Hz,-64.22
951999848,Hz,-64.94
952333181,Hz,-64.39
952666514,Hz,-65.42
952999847,Hz,-65.64
953333180,Hz,-66.15
953666513,Hz,-64.43
953999846,Hz,-64.34
954333179,Hz,-53.54
954666512,Hz,-46.67
954999845,Hz,-43.28
955333178,Hz,-42.91
955666511,Hz,-43.53
955999844,Hz,-46.17
956333177,Hz,-56.41
956666510,Hz,-64.96
956999843,Hz,-64.74
957333176,Hz,-65.34
957666509,Hz,-64.85
957999842,Hz,-64.91
958333175,Hz,-65.45
958666508,Hz,-64.88
958999841,Hz,-64.7
959333174,Hz,-56.19
959666507,Hz,-49.06
959999840,Hz,-45.54
960333173,Hz,-45.28
960666506,Hz,-45.71
960999839,Hz,-48.17
961333172,Hz,-57.26
961666505,Hz,-65.49
961999838,Hz,-64.32
962333171,Hz,-64.68
962666504,Hz,-64.47
962999837,Hz,-64.28
963333170,Hz,-65.25
963666503,Hz,-64.96
963999836,Hz,-65.25
964333169,Hz,-58.01
964666502,Hz,-50.36
964999835,Hz,-46.33
965333168,Hz,-46.15
965666501,Hz,-47.09
965999834,Hz,-49.46
966333167,Hz,-58.68
966666500,Hz,-65.5
966999833,Hz,-64.85
967333166,Hz,-64.36
967666499,Hz,-65.7
967999832,Hz,-65.43
968333165,Hz,-64.87
968666498,Hz,-64.34
968999831,Hz,-64.25
969333164,Hz,-58.44
969666497,Hz,-51.42
969999830,Hz,-47.47
970333163,Hz,-46.93
970666496,Hz,-47.54
970999829,Hz,-50.44
971333162,Hz,-59.84
971666495,Hz,-65.02
971999828,Hz,-63.93
972333161,Hz,-63.35
972666494,Hz,-65.12
972999827,Hz,-65
973333160,Hz,-64.96
973666493,Hz,-64.3
973999826,Hz,-64.34
974333159,Hz,-59.7
974666492,Hz,-52.73
974999825,Hz,-49.28
975333158,Hz,-48.63
975666491,Hz,-49.67
975999824,Hz,-51.3
976333157,Hz,-61.05
976666490,Hz,-65.69
976999823,Hz,-65.97
977333156,Hz,-64.03
977666489,Hz,-64.81
977999822,Hz,-65.6
978333155,Hz,-63.27
978666488,Hz,-64.85
978999821,Hz,-64.48
979333154,Hz,-60.43
979666487,Hz,-53.37
979999820,Hz,-49.75
980333153,Hz,-49.51
980666486,Hz,-50.28
980999819,Hz,-52.66
981333152,Hz,-62.52
981666485,Hz,-64.82
981999818,Hz,-65.28
982333151,Hz,-63.88
982666484,Hz,-63.1
982999817,Hz,-64.88
983333150,Hz,-63.98
983666483,Hz,-63.46
983999816,Hz,-65.2
984333149,Hz,-59.76
984666482,Hz,-52.56
984999815,Hz,-49.5
985333148,Hz,-49.17
985666481,Hz,-49.79
985999814,Hz,-52.15
986333147,Hz,-60.83
986666480,Hz,-64.74
986999813,Hz,-64.52
987333146,Hz,-65.66
987666479,Hz,-64.98
987999812,Hz,-64.55
988333145,Hz,-64.14
988666478,Hz,-64.92
988999811,Hz,-64.96
989333144,Hz,-57.53
989666477,Hz,-49.97
989999810,Hz,-46.36
990333143,Hz,-45.83
990666476,Hz,-46.11
990999809,Hz,-49.07
991333142,Hz,-58.74
991666475,Hz,-65.61
991999808,Hz,-63.75
992333141,Hz,-64.33
992666474,Hz,-64.65
992999807,Hz,-64.36
993333140,Hz,-64.83
993666473,Hz,-65.1
993999806,Hz,-64.09
