Trace1,,
Freq,,Amp
881666585,Hz,-63.04
881999918,Hz,-64.52
882333251,Hz,-64.79
882666584,Hz,-64.32
882999917,Hz,-64.52
883333250,Hz,-64.19
883666583,Hz,-64.76
883999916,Hz,-61.51
884333249,Hz,-50.49
884666582,Hz,-42.28
884999915,Hz,-38.71
885333248,Hz,-38.23
885666581,Hz,-38.93
885999914,Hz,-41.46
886333247,Hz,-51.72
886666580,Hz,-62.71
886999913,Hz,-64.53
887333246,Hz,-65.26
887666579,Hz,-64.48
887999912,Hz,-64.54
888333245,Hz,-65.35
888666578,Hz,-64.28
888999911,Hz,-60.61
889333244,Hz,-49.58
889666577,Hz,-41.87
889999910,Hz,-38.31
890333243,Hz,-38.03
890666576,Hz,-38.43
890999909,Hz,-40.97
891333242,Hz,-50.6
891666575,Hz,-64.16
891999908,Hz,-65.3
892333241,Hz,-65.29
892666574,Hz,-65.06
892999907,Hz,-64.88
893333240,Hz,-65.35
893666573,Hz,-65.25
893999906,Hz,-61.63
894333239,Hz,-49.91
894666572,Hz,-41.74
894999905,Hz,-38.34
895333238,Hz,-38.19
895666571,Hz,-38.66
895999904,Hz,-41.26
896333237,Hz,-51.85
896666570,Hz,-61.36
896999903,Hz,-63.85
897333236,Hz,-62.86
897666569,Hz,-65.2
897999902,Hz,-64.34
898333235,Hz,-63.09
898666568,Hz,-64.39
898999901,Hz,-62.14
899333234,Hz,-51.66
899666567,Hz,-43.79
899999900,Hz,-40.63
900333233,Hz,-40.06
900666566,Hz,-40.79
900999899,Hz,-43.12
901333232,Hz,-53.47
901666565,Hz,-62.32
901999898,Hz,-65.02
902333231,Hz,-65.24
902666564,Hz,-64.46
902999897,Hz,-63.89
903333230,Hz,-64.57
903666563,Hz,-64.58
903999896,Hz,-63.52
904333229,Hz,-52.68
904666562,Hz,-45.24
904999895,Hz,-41.75
905333228,Hz,-41.68
905666561,Hz,-41.95
905999894,Hz,-44.23
906333227,Hz,-54.21
906666560,Hz,-63.84
906999893,Hz,-63.61
907333226,Hz,-65.1
907666559,Hz,-64.83
907999892,Hz,-63.57
908333225,Hz,-64.49
908666558,Hz,-64.67
908999891,Hz,-63.58
909333224,Hz,-51.73
909666557,Hz,-44.41
909999890,Hz,-40.87
910333223,Hz,-40.56
910666556,Hz,-40.94
910999889,Hz,-43.47
911333222,Hz,-53.31
911666555,Hz,-63.83
911999888,Hz,-64.99
912333221,Hz,-64.27
912666554,Hz,-64.58
912999887,Hz,-64.75
913333220,Hz,-64.83
913666553,Hz,-64.47
913999886,Hz,-62.69
914333219,Hz,-53.88
914666552,Hz,-46.25
914999885,Hz,-42.72
915333218,Hz,-42.42
915666551,Hz,-43.09
915999884,Hz,-45.51
916333217,Hz,-55.13
916666550,Hz,-63.37
916999883,Hz,-64.07
917333216,Hz,-64.29
917666549,Hz,-64.36
917999882,Hz,-64.58
918333215,Hz,-64.7
918666548,Hz,-64.47
918999881,Hz,-65.23
919333214,Hz,-54.14
919666547,Hz,-46.21
919999880,Hz,-42.63
920333213,Hz,-42.46
920666546,Hz,-42.95
920999879,Hz,-45.46
921333212,Hz,-55.78
921666545,Hz,-62.68
921999878,Hz,-63.39
922333211,Hz,-65
922666544,Hz,-65.16
922999877,Hz,-64.44
923333210,Hz,-63.91
923666543,Hz,-64.32
923999876,Hz,-64.42
924333209,Hz,-58.44
924666542,Hz,-50.06
924999875,Hz,-47.2
925333208,Hz,-46.91
925666541,Hz,-47.11
925999874,Hz,-49.52
926333207,Hz,-58.81
926666540,Hz,-64.05
926999873,Hz,-64.18
927333206,Hz,-64.27
927666539,Hz,-64.63
927999872,Hz,-63.21
928333205,Hz,-64.77
928666538,Hz,-64.47
928999871,Hz,-64.42
929333204,Hz,-63.73
929666537,Hz,-57.08
929999870,Hz,-56.12
930333203,Hz,-54.3
930666536,Hz,-55.53
930999869,Hz,-57.93
931333202,Hz,-65
931666535,Hz,-64.59
931999868,Hz,-65
932333201,Hz,-63.49
932666534,Hz,-65.53
932999867,Hz,-64.06
933333200,Hz,-64.71
933666533,Hz,-64.32
933999866,Hz,-64.15
934333199,Hz,-60.07
934666532,Hz,-52.89
934999865,Hz,-49.3
935333198,Hz,-49.44
935666531,Hz,-49.67
935999864,Hz,-52.26
936333197,Hz,-61.62
936666530,Hz,-65.01
936999863,Hz,-64.52
937333196,Hz,-64.16
937666529,Hz,-64.82
937999862,Hz,-65.79
938333195,Hz,-64.28
938666528,Hz,-64.02
938999861,Hz,-63.48
939333194,Hz,-58.08
939666527,Hz,-51.68
939999860,Hz,-48.15
940333193,Hz,-48.15
940666526,Hz,-48.38
940999859,Hz,-50.19
941333192,Hz,-60.11
941666525,Hz,-64.82
941999858,Hz,-64.61
942333191,Hz,-63.85
942666524,Hz,-65.14
942999857,Hz,-64.62
943333190,Hz,-64.2
943666523,Hz,-64.88
943999856,Hz,-64.05
944333189,Hz,-57.4
944666522,Hz,-51.03
944999855,Hz,-48.13
945333188,Hz,-47.73
945666521,Hz,-48.7
945999854,Hz,-50.53
946333187,Hz,-59.95
946666520,Hz,-64.2
946999853,Hz,-64.75
947333186,Hz,-65.16
947666519,Hz,-65.3
947999852,Hz,-65.4
948333185,Hz,-64.06
948666518,Hz,-65.32
948999851,Hz,-63.51
949333184,Hz,-54.68
949666517,Hz,-47.6
949999850,Hz,-44.44
950333183,Hz,-44.07
950666516,Hz,-44.43
950999849,Hz,-46.79
951333182,Hz,-56.92
951666515,Hz,-64.99
951999848,Hz,-64.78
952333181,Hz,-64.06
952666514,Hz,-65.23
952999847,Hz,-64.67
953333180,Hz,-64.43
953666513,Hz,-64.37
953999846,Hz,-62.78
954333179,Hz,-51.99
954666512,Hz,-44.15
954999845,Hz,-40.46
955333178,Hz,-40.38
955666511,Hz,-40.87
955999844,Hz,-43.35
956333177,Hz,-53.35
956666510,Hz,-63.6
956999843,Hz,-64.44
957333176,Hz,-65.13
957666509,Hz,-64.59
957999842,Hz,-64.58
958333175,Hz,-64.74
958666508,Hz,-64.98
958999841,Hz,-62.42
959333174,Hz,-49.55
959666507,Hz,-41.87
959999840,Hz,-38.43
960333173,Hz,-38.34
960666506,Hz,-38.73
960999839,Hz,-41.14
961333172,Hz,-51.1
961666505,Hz,-62.24
961999838,Hz,-64.7
962333171,Hz,-63.55
962666504,Hz,-64.82
962999837,Hz,-63.68
963333170,Hz,-64.87
963666503,Hz,-63.44
963999836,Hz,-61.35
964333169,Hz,-49.11
964666502,Hz,-41.62
964999835,Hz,-38.08
965333168,Hz,-37.83
965666501,Hz,-38.34
965999834,Hz,-40.75
966333167,Hz,-50.7
966666500,Hz,-63.42
966999833,Hz,-63.29
967333166,Hz,-63.92
967666499,Hz,-62.16
967999832,Hz,-64.12
968333165,Hz,-65.43
968666498,Hz,-64.23
968999831,Hz,-61.18
969333164,Hz,-50.25
969666497,Hz,-42.29
969999830,Hz,-38.89
970333163,Hz,-38.52
970666496,Hz,-39.25
970999829,Hz,-41.85
971333162,Hz,-51.39
971666495,Hz,-63.28
971999828,Hz,-64.73
972333161,Hz,-64.16
972666494,Hz,-64.43
972999827,Hz,-64.33
973333160,Hz,-64.27
973666493,Hz,-65.21
973999826,Hz,-62
974333159,Hz,-51.73
974666492,Hz,-44.45
974999825,Hz,-40.72
975333158,Hz,-40.64
975666491,Hz,-41.04
975999824,Hz,-43.41
976333157,Hz,-53.84
976666490,Hz,-64.04
976999823,Hz,-63.03
977333156,Hz,-64.7
977666489,Hz,-63.98
977999822,Hz,-64.06
978333155,Hz,-64.72
978666488,Hz,-64.27
978999821,Hz,-63.56
979333154,Hz,-54.61
979666487,Hz,-47.4
979999820,Hz,-43.67
980333153,Hz,-43.53
980666486,Hz,-44.07
980999819,Hz,-46.57
981333152,Hz,-56.69
981666485,Hz,-65.12
981999818,Hz,-65.01
982333151,Hz,-64.39
982666484,Hz,-63.8
982999817,Hz,-64.56
983333150,Hz,-64.86
983666483,Hz,-64.91
983999816,Hz,-64.41
984333149,Hz,-57.9
984666482,Hz,-49.85
984999815,Hz,-46.6
985333148,Hz,-46.38
985666481,Hz,-47.4
985999814,Hz,-49.29
986333147,Hz,-58.66
986666480,Hz,-65.78
986999813,Hz,-62.15
987333146,Hz,-63.74
987666479,Hz,-63.65
987999812,Hz,-64.01
988333145,Hz,-62.69
988666478,Hz,-64.78
988999811,Hz,-64.59
989333144,Hz,-58.1
989666477,Hz,-51.11
989999810,Hz,-47.7
990333143,Hz,-47.32
990666476,Hz,-47.66
990999809,Hz,-50.63
991333142,Hz,-59.85
991666475,Hz,-63.92
991999808,Hz,-63.31
992333141,Hz,-64.21
992666474,Hz,-64.3
992999807,Hz,-63.58
993333140,Hz,-63
993666473,Hz,-63.92
993999806,Hz,-64
994333139,Hz,-56.12
994666472,Hz,-49.85
994999805,Hz,-46.22
995333138,Hz,-46
995666471,Hz,-46.72
995999804,Hz,-48.97
996333137,Hz,-57.38
996666470,Hz,-64.39
996999803,Hz,-64.33
997333136,Hz,-64.15
997666469,Hz,-65.25
997999802,Hz,-63.92
998333135,Hz,-64.05
998666468,Hz,-64.28
998999801,Hz,-64.24
999333134,Hz,-58.05
999666467,Hz,-49.74
999999800,Hz,-46.21
