Trace1,,
Freq,,Amp
800000000,Hz,-47.41
800333333,Hz,-47.25
800666666,Hz,-47.25
800999999,Hz,-49.69
801333332,Hz,-58.16
801666665,Hz,-64.38
801999998,Hz,-63.7
802333331,Hz,-64.36
802666664,Hz,-64.43
802999997,Hz,-65.28
803333330,Hz,-64.37
803666663,Hz,-64.96
803999996,Hz,-64.05
804333329,Hz,-57.49
804666662,Hz,-49.71
804999995,Hz,-46.27
805333328,Hz,-46.02
805666661,Hz,-46.2
805999994,Hz,-48.44
806333327,Hz,-58.04
806666660,Hz,-65.13
806999993,Hz,-64.11
807333326,Hz,-64.76
807666659,Hz,-65.03
807999992,Hz,-64.04
808333325,Hz,-64.35
808666658,Hz,-64.76
808999991,Hz,-63.6
809333324,Hz,-55.22
809666657,Hz,-47.78
809999990,Hz,-44.06
810333323,Hz,-43.98
810666656,Hz,-44.31
810999989,Hz,-47.06
811333322,Hz,-56.79
811666655,Hz,-63.41
811999988,Hz,-64.79
812333321,Hz,-63.14
812666654,Hz,-64.52
812999987,Hz,-64.76
813333320,Hz,-64.97
813666653,Hz,-64.75
813999986,Hz,-63.72
814333319,Hz,-53.35
814666652,Hz,-45.3
814999985,Hz,-42.21
815333318,Hz,-42.09
815666651,Hz,-42.72
815999984,Hz,-44.43
816333317,Hz,-55.31
816666650,Hz,-64.74
816999983,Hz,-63.64
817333316,Hz,-64.67
817666649,Hz,-64.56
817999982,Hz,-65.02
818333315,Hz,-64.21
818666648,Hz,-63.99
818999981,Hz,-62.35
819333314,Hz,-50.91
819666647,Hz,-43.73
819999980,Hz,-40.04
820333313,Hz,-39.75
820666646,Hz,-40.44
820999979,Hz,-42.79
821333312,Hz,-53
821666645,Hz,-61.08
821999978,Hz,-64.77
822333311,Hz,-64.67
822666644,Hz,-65.48
822999977,Hz,-63.9
823333310,Hz,-63.99
823666643,Hz,-64.2
823999976,Hz,-64.21
824333309,Hz,-51.72
824666642,Hz,-43.49
824999975,Hz,-39.69
825333308,Hz,-39.42
825666641,Hz,-40.12
825999974,Hz,-42.57
826333307,Hz,-52.68
826666640,Hz,-62.24
826999973,Hz,-65.08
827333306,Hz,-65.11
827666639,Hz,-64.97
827999972,Hz,-64.74
828333305,Hz,-64.78
828666638,Hz,-64.92
828999971,Hz,-61.77
829333304,Hz,-50.3
829666637,Hz,-42.61
829999970,Hz,-39.3
830333303,Hz,-39.06
830666636,Hz,-39.58
830999969,Hz,-41.74
831333302,Hz,-52.25
831666635,Hz,-63.28
831999968,Hz,-64.18
832333301,Hz,-64.53
832666634,Hz,-64.2
832999967,Hz,-64.32
833333300,Hz,-64.25
833666633,Hz,-63.61
833999966,Hz,-62.74
834333299,Hz,-50.8
834666632,Hz,-42.47
834999965,Hz,-38.94
835333298,Hz,-38.57
835666631,Hz,-39.2
835999964,Hz,-41.88
836333297,Hz,-52.17
836666630,Hz,-63.14
836999963,Hz,-64.06
837333296,Hz,-65.25
837666629,Hz,-64.19
837999962,Hz,-64.81
838333295,Hz,-64.88
838666628,Hz,-64.67
838999961,Hz,-60.5
839333294,Hz,-50.64
839666627,Hz,-42.71
839999960,Hz,-39.1
840333293,Hz,-38.96
840666626,Hz,-39.25
840999959,Hz,-41.99
841333292,Hz,-52.35
841666625,Hz,-63.69
841999958,Hz,-64.36
842333291,Hz,-65.47
842666624,Hz,-64.54
842999957,Hz,-63.76
843333290,Hz,-64.13
843666623,Hz,-65.84
843999956,Hz,-60.05
844333289,Hz,-50.14
844666622,Hz,-42.77
844999955,Hz,-39.29
845333288,Hz,-38.99
845666621,Hz,-39.27
845999954,Hz,-41.82
846333287,Hz,-51.44
846666620,Hz,-62.84
846999953,Hz,-64.52
847333286,Hz,-63.5
847666619,Hz,-64.3
847999952,Hz,-65.06
848333285,Hz,-64.35
848666618,Hz,-63.9
848999951,Hz,-62.15
849333284,Hz,-52.14
849666617,Hz,-43.68
849999950,Hz,-39.65
850333283,Hz,-39.44
850666616,Hz,-39.82
850999949,Hz,-42.14
851333282,Hz,-51.28
851666615,Hz,-62.14
851999948,Hz,-64.62
852333281,Hz,-64.7
852666614,Hz,-65.78
852999947,Hz,-63.7
853333280,Hz,-63.54
853666613,Hz,-62.98
853999946,Hz,-64.27
854333279,Hz,-52.37
854666612,Hz,-44.79
854999945,Hz,-40.9
855333278,Hz,-40.73
855666611,Hz,-41.46
855999944,Hz,-43.95
856333277,Hz,-53.87
856666610,Hz,-63.72
856999943,Hz,-64.39
857333276,Hz,-65.57
857666609,Hz,-63.66
857999942,Hz,-64.26
858333275,Hz,-64.88
858666608,Hz,-63.8
858999941,Hz,-63.22
859333274,Hz,-53.77
859666607,Hz,-45.8
859999940,Hz,-42.35
860333273,Hz,-41.97
860666606,Hz,-42.7
860999939,Hz,-45.01
861333272,Hz,-54.37
861666605,Hz,-63.68
861999938,Hz,-63
862333271,Hz,-60.58
862666604,Hz,-60.31
862999937,Hz,-60.6
863333270,Hz,-59.39
863666603,Hz,-60.32
863999936,Hz,-62.05
864333269,Hz,-54.74
864666602,Hz,-46.69
864999935,Hz,-43.36
865333268,Hz,-43.01
865666601,Hz,-43.51
865999934,Hz,-46.34
866333267,Hz,-54.45
866666600,Hz,-60.04
866999933,Hz,-59.07
867333266,Hz,-58.02
867666599,Hz,-58.45
867999932,Hz,-58.21
868333265,Hz,-56.71
868666598,Hz,-59.95
868999931,Hz,-61.34
869333264,Hz,-55.12
869666597,Hz,-47.88
869999930,Hz,-44.43
870333263,Hz,-44.39
870666596,Hz,-44.88
870999929,Hz,-47.15
871333262,Hz,-56.29
871666595,Hz,-59
871999928,Hz,-59.57
872333261,Hz,-58.65
872666594,Hz,-59.85
872999927,Hz,-56.79
873333260,Hz,-56.37
873666593,Hz,-56.53
873999926,Hz,-56.03
874333259,Hz,-56.47
874666592,Hz,-49.55
874999925,Hz,-46.28
875333258,Hz,-45.83
875666591,Hz,-46.11
875999924,Hz,-48.42
876333257,Hz,-59.62
876666590,Hz,-61.23
876999923,Hz,-60.63
877333256,Hz,-60.91
877666589,Hz,-60.84
877999922,Hz,-58.33
878333255,Hz,-59.57
878666588,Hz,-60.29
878999921,Hz,-61.87
879333254,Hz,-56.47
879666587,Hz,-49.59
879999920,Hz,-46.44
880333253,Hz,-45.92
880666586,Hz,-46.52
880999919,Hz,-48.75
881333252,Hz,-59.05
881666585,Hz,-64.23
881999918,Hz,-65.16
882333251,Hz,-63.77
882666584,Hz,-64.93
882999917,Hz,-65.03
883333250,Hz,-64.18
883666583,Hz,-65.16
883999916,Hz,-64.63
884333249,Hz,-56.81
884666582,Hz,-49.5
884999915,Hz,-46
885333248,Hz,-45.71
885666581,Hz,-46.24
885999914,Hz,-48.73
886333247,Hz,-58.47
886666580,Hz,-65.34
886999913,Hz,-65.1
887333246,Hz,-64.12
887666579,Hz,-64.47
887999912,Hz,-63.86
888333245,Hz,-64.86
888666578,Hz,-63.61
888999911,Hz,-65.04
889333244,Hz,-56.7
889666577,Hz,-48.95
889999910,Hz,-45.42
890333243,Hz,-45.18
890666576,Hz,-45.58
890999909,Hz,-47.76
891333242,Hz,-57.53
891666575,Hz,-65.23
891999908,Hz,-64.77
892333241,Hz,-64.76
892666574,Hz,-65.55
892999907,Hz,-63.81
893333240,Hz,-64.55
893666573,Hz,-65.1
893999906,Hz,-63.78
894333239,Hz,-55.81
894666572,Hz,-48.43
894999905,Hz,-45.47
895333238,Hz,-44.96
895666571,Hz,-45.5
895999904,Hz,-47.81
896333237,Hz,-57.45
896666570,Hz,-62.17
896999903,Hz,-64.13
897333236,Hz,-65.19
897666569,Hz,-64.37
897999902,Hz,-65.02
898333235,Hz,-65.42
898666568,Hz,-65.63
898999901,Hz,-64.77
899333234,Hz,-58.21
899666567,Hz,-50.83
899999900,Hz,-47.6
900333233,Hz,-47.45
900666566,Hz,-47.74
900999899,Hz,-50.48
901333232,Hz,-58.84
901666565,Hz,-64.82
901999898,Hz,-65.1
902333231,Hz,-64.79
902666564,Hz,-64.24
902999897,Hz,-64.94
903333230,Hz,-64.7
903666563,Hz,-65.26
903999896,Hz,-64.56
904333229,Hz,-58.65
904666562,Hz,-52.34
904999895,Hz,-48.35
905333228,Hz,-48.2
905666561,Hz,-48.89
905999894,Hz,-50.91
906333227,Hz,-59.8
906666560,Hz,-64.11
906999893,Hz,-65.1
907333226,Hz,-65.58
907666559,Hz,-64.32
907999892,Hz,-63.59
908333225,Hz,-64.89
908666558,Hz,-65.24
908999891,Hz,-64.6
909333224,Hz,-60.42
909666557,Hz,-53.79
909999890,Hz,-50.62
910333223,Hz,-49.78
910666556,Hz,-51.21
910999889,Hz,-53.33
911333222,Hz,-61.31
911666555,Hz,-64
911999888,Hz,-64.19
912333221,Hz,-64.61
912666554,Hz,-64.15
912999887,Hz,-63.69
913333220,Hz,-64.91
913666553,Hz,-63.9
913999886,Hz,-63
914333219,Hz,-61.31
914666552,Hz,-54.62
914999885,Hz,-50.66
915333218,Hz,-50.68
915666551,Hz,-50.96
915999884,Hz,-53.67
916333217,Hz,-62.48
916666550,Hz,-63.22
916999883,Hz,-65.54
917333216,Hz,-63.6
917666549,Hz,-63.07
917999882,Hz,-65.15
918333215,Hz,-64.01
918666548,Hz,-64.15
918999881,Hz,-64.67
919333214,Hz,-56.86
919666547,Hz,-49.63
919999880,Hz,-46.11
920333213,Hz,-45.85
920666546,Hz,-46.23
920999879,Hz,-48.92
921333212,Hz,-59.14
921666545,Hz,-65.87
921999878,Hz,-65.02
922333211,Hz,-64.98
922666544,Hz,-64.89
922999877,Hz,-64.49
923333210,Hz,-62.65
923666543,Hz,-64.43
923999876,Hz,-63.83
924333209,Hz,-54.05
924666542,Hz,-47.14
924999875,Hz,-43.68
925333208,Hz,-43.41
925666541,Hz,-43.9
925999874,Hz,-45.79
926333207,Hz,-54.75
926666540,Hz,-64.61
926999873,Hz,-64.49
927333206,Hz,-65.3
927666539,Hz,-64.83
