Trace1,,
Freq,,Amp
800000000,Hz,-51.28
800333333,Hz,-50.89
800666666,Hz,-51.44
800999999,Hz,-53.78
801333332,Hz,-60.84
801666665,Hz,-64.25
801999998,Hz,-64.45
802333331,Hz,-64.01
802666664,Hz,-65.06
802999997,Hz,-64.56
803333330,Hz,-63.77
803666663,Hz,-64.32
803999996,Hz,-64.34
804333329,Hz,-60.91
804666662,Hz,-53.58
804999995,Hz,-50.54
805333328,Hz,-49.84
805666661,Hz,-50.95
805999994,Hz,-53.27
806333327,Hz,-60.48
806666660,Hz,-65.04
806999993,Hz,-64.96
807333326,Hz,-65.45
807666659,Hz,-64.35
807999992,Hz,-64.47
808333325,Hz,-65.24
808666658,Hz,-64.79
808999991,Hz,-63.74
809333324,Hz,-59.72
809666657,Hz,-52.11
809999990,Hz,-49.29
810333323,Hz,-49.18
810666656,Hz,-49.31
810999989,Hz,-51.78
811333322,Hz,-60.9
811666655,Hz,-64.26
811999988,Hz,-64.69
812333321,Hz,-65.26
812666654,Hz,-65.1
812999987,Hz,-63.87
813333320,Hz,-64.26
813666653,Hz,-64.31
813999986,Hz,-63.49
814333319,Hz,-57.99
814666652,Hz,-51.96
814999985,Hz,-48.6
815333318,Hz,-48.36
815666651,Hz,-48.79
815999984,Hz,-51.13
816333317,Hz,-59.7
816666650,Hz,-63.64
816999983,Hz,-63.38
817333316,Hz,-65.28
817666649,Hz,-64.36
817999982,Hz,-64.54
818333315,Hz,-64.37
818666648,Hz,-65.66
818999981,Hz,-65.21
819333314,Hz,-58.84
819666647,Hz,-50.73
819999980,Hz,-47.4
820333313,Hz,-46.93
820666646,Hz,-47.49
820999979,Hz,-49.95
821333312,Hz,-59.69
821666645,Hz,-64.26
821999978,Hz,-65.28
822333311,Hz,-64.79
822666644,Hz,-64.61
822999977,Hz,-64.92
823333310,Hz,-64.89
823666643,Hz,-63.97
823999976,Hz,-64.45
824333309,Hz,-57.58
824666642,Hz,-51.3
824999975,Hz,-48.07
825333308,Hz,-47.85
825666641,Hz,-48.39
825999974,Hz,-50.64
826333307,Hz,-60.04
826666640,Hz,-64.92
826999973,Hz,-65.14
827333306,Hz,-65.43
827666639,Hz,-64.59
827999972,Hz,-64.78
828333305,Hz,-64.95
828666638,Hz,-65.1
828999971,Hz,-65.31
829333304,Hz,-61.47
829666637,Hz,-53.98
829999970,Hz,-50.3
830333303,Hz,-50.17
830666636,Hz,-50.88
830999969,Hz,-52.92
831333302,Hz,-62.05
831666635,Hz,-64.25
831999968,Hz,-64.17
832333301,Hz,-65.83
832666634,Hz,-64.46
832999967,Hz,-64.63
833333300,Hz,-64.37
833666633,Hz,-65.59
833999966,Hz,-64.68
834333299,Hz,-60.14
834666632,Hz,-54.49
834999965,Hz,-50.87
835333298,Hz,-50.69
835666631,Hz,-51.41
835999964,Hz,-54.04
836333297,Hz,-62.75
836666630,Hz,-64.88
836999963,Hz,-64.41
837333296,Hz,-65.07
837666629,Hz,-65.04
837999962,Hz,-65.67
838333295,Hz,-63.77
838666628,Hz,-63.36
838999961,Hz,-64.44
839333294,Hz,-60.31
839666627,Hz,-53.12
839999960,Hz,-49.66
840333293,Hz,-49.67
840666626,Hz,-50.66
840999959,Hz,-52.53
841333292,Hz,-62.4
841666625,Hz,-64.55
841999958,Hz,-64.44
842333291,Hz,-63.73
842666624,Hz,-65.26
842999957,Hz,-65.43
843333290,Hz,-65
843666623,Hz,-63.8
843999956,Hz,-65.14
844333289,Hz,-57.83
844666622,Hz,-52.66
844999955,Hz,-49.44
845333288,Hz,-49.17
845666621,Hz,-49.5
845999954,Hz,-51.91
846333287,Hz,-60.75
846666620,Hz,-65.46
846999953,Hz,-63.66
847333286,Hz,-64.32
847666619,Hz,-63.67
847999952,Hz,-64.64
848333285,Hz,-65.66
848666618,Hz,-65.98
848999951,Hz,-63.95
849333284,Hz,-59.93
849666617,Hz,-53.07
849999950,Hz,-49.28
850333283,Hz,-48.81
850666616,Hz,-49.31
850999949,Hz,-51.25
851333282,Hz,-59.52
851666615,Hz,-64.37
851999948,Hz,-63.81
852333281,Hz,-64.94
852666614,Hz,-65.12
852999947,Hz,-63.79
853333280,Hz,-63.43
853666613,Hz,-64.34
853999946,Hz,-65.41
854333279,Hz,-59.49
854666612,Hz,-53.79
854999945,Hz,-50.01
855333278,Hz,-49.91
855666611,Hz,-51.15
855999944,Hz,-53.01
856333277,Hz,-61.38
856666610,Hz,-65.03
856999943,Hz,-64.19
857333276,Hz,-65.18
857666609,Hz,-65.05
857999942,Hz,-64.12
858333275,Hz,-64.96
858666608,Hz,-64.82
858999941,Hz,-63.08
859333274,Hz,-63.35
859666607,Hz,-56.84
859999940,Hz,-53.81
860333273,Hz,-53.48
860666606,Hz,-53.48
860999939,Hz,-56.38
861333272,Hz,-64.6
861666605,Hz,-63.64
861999938,Hz,-63.96
862333271,Hz,-60.73
862666604,Hz,-60.52
862999937,Hz,-59.54
863333270,Hz,-59.74
863666603,Hz,-59.77
863999936,Hz,-62.07
864333269,Hz,-62.53
864666602,Hz,-60.53
864999935,Hz,-58.46
865333268,Hz,-56.71
865666601,Hz,-58.38
865999934,Hz,-59.12
866333267,Hz,-58.71
866666600,Hz,-58.28
866999933,Hz,-57.71
867333266,Hz,-59.35
867666599,Hz,-60.64
867999932,Hz,-60.04
868333265,Hz,-60.87
868666598,Hz,-60.62
868999931,Hz,-62.23
869333264,Hz,-64.31
869666597,Hz,-59.2
869999930,Hz,-56.52
870333263,Hz,-56.34
870666596,Hz,-56.39
870999929,Hz,-57.5
871333262,Hz,-60.06
871666595,Hz,-59.78
871999928,Hz,-59.89
872333261,Hz,-57.66
872666594,Hz,-58.08
872999927,Hz,-59.36
873333260,Hz,-58.69
873666593,Hz,-58.76
873999926,Hz,-61.11
874333259,Hz,-62.73
874666592,Hz,-55.35
874999925,Hz,-52.74
875333258,Hz,-52.68
875666591,Hz,-52.72
875999924,Hz,-55.18
876333257,Hz,-62.05
876666590,Hz,-63.59
876999923,Hz,-61.61
877333256,Hz,-61.91
877666589,Hz,-60.81
877999922,Hz,-60.01
878333255,Hz,-59.76
878666588,Hz,-60.27
878999921,Hz,-63.38
879333254,Hz,-61.42
879666587,Hz,-55.39
879999920,Hz,-52.4
880333253,Hz,-51.58
880666586,Hz,-52.74
880999919,Hz,-53.62
881333252,Hz,-63.97
881666585,Hz,-64.72
881999918,Hz,-64.95
882333251,Hz,-63.39
882666584,Hz,-64.82
882999917,Hz,-64.62
883333250,Hz,-64.61
883666583,Hz,-63.67
883999916,Hz,-64.57
884333249,Hz,-62.46
884666582,Hz,-55.04
884999915,Hz,-51.47
885333248,Hz,-51.34
885666581,Hz,-52.04
885999914,Hz,-54.97
886333247,Hz,-63.23
886666580,Hz,-65.57
886999913,Hz,-65.39
887333246,Hz,-64.35
887666579,Hz,-65.67
887999912,Hz,-65.09
888333245,Hz,-64.32
888666578,Hz,-64.59
888999911,Hz,-65.61
889333244,Hz,-61.45
889666577,Hz,-55.68
889999910,Hz,-51.48
890333243,Hz,-50.64
890666576,Hz,-51.99
890999909,Hz,-54.57
891333242,Hz,-62.39
891666575,Hz,-65.23
891999908,Hz,-64.54
892333241,Hz,-65.48
892666574,Hz,-64.64
892999907,Hz,-64.18
893333240,Hz,-64.93
893666573,Hz,-65.14
893999906,Hz,-65.03
894333239,Hz,-60.96
894666572,Hz,-54.44
894999905,Hz,-50.65
895333238,Hz,-50.09
895666571,Hz,-50.59
895999904,Hz,-53.27
896333237,Hz,-61.99
896666570,Hz,-64.97
896999903,Hz,-64.49
897333236,Hz,-64.17
897666569,Hz,-63.99
897999902,Hz,-63.74
898333235,Hz,-64.86
898666568,Hz,-65.12
898999901,Hz,-64.32
899333234,Hz,-59.81
899666567,Hz,-52.36
899999900,Hz,-49.2
900333233,Hz,-48.79
900666566,Hz,-49.92
900999899,Hz,-52.29
901333232,Hz,-59.8
901666565,Hz,-64.26
901999898,Hz,-64.63
902333231,Hz,-64.99
902666564,Hz,-63.33
902999897,Hz,-65.2
903333230,Hz,-65.23
903666563,Hz,-65.76
903999896,Hz,-65.17
904333229,Hz,-57.08
904666562,Hz,-50.52
904999895,Hz,-47.68
905333228,Hz,-47.69
905666561,Hz,-47.95
905999894,Hz,-50.24
906333227,Hz,-59.36
906666560,Hz,-64.61
906999893,Hz,-64.56
907333226,Hz,-64.87
907666559,Hz,-65.84
907999892,Hz,-65.82
908333225,Hz,-65.02
908666558,Hz,-63.79
908999891,Hz,-64.24
909333224,Hz,-57.76
909666557,Hz,-50.65
909999890,Hz,-48.32
910333223,Hz,-47.52
910666556,Hz,-48.09
910999889,Hz,-50.94
911333222,Hz,-60.16
911666555,Hz,-64.84
911999888,Hz,-64.58
912333221,Hz,-64.58
912666554,Hz,-64.51
912999887,Hz,-65.23
913333220,Hz,-64.07
913666553,Hz,-65.41
913999886,Hz,-64.88
914333219,Hz,-58.57
914666552,Hz,-50.18
914999885,Hz,-47.48
915333218,Hz,-47.16
915666551,Hz,-47.7
915999884,Hz,-49.67
916333217,Hz,-60.09
916666550,Hz,-65.26
916999883,Hz,-65.39
917333216,Hz,-65.88
917666549,Hz,-65.1
917999882,Hz,-63.74
918333215,Hz,-65.22
918666548,Hz,-65.1
918999881,Hz,-64.9
919333214,Hz,-56.45
919666547,Hz,-48.81
919999880,Hz,-45.73
920333213,Hz,-45.45
920666546,Hz,-45.67
920999879,Hz,-48.18
921333212,Hz,-57.12
921666545,Hz,-65.45
921999878,Hz,-65.31
922333211,Hz,-64.5
922666544,Hz,-64
922999877,Hz,-64.54
923333210,Hz,-65.09
923666543,Hz,-64.6
923999876,Hz,-65.24
924333209,Hz,-55.65
924666542,Hz,-48.32
924999875,Hz,-44.8
925333208,Hz,-44.56
925666541,Hz,-45.27
925999874,Hz,-47.48
926333207,Hz,-57.29
926666540,Hz,-65.05
926999873,Hz,-65.36
927333206,Hz,-65.24
927666539,Hz,-66.49
927999872,Hz,-64.24
928333205,Hz,-64.86
928666538,Hz,-65.65
928999871,Hz,-65.81
929333204,Hz,-54.51
929666537,Hz,-48.2
929999870,Hz,-44.59
930333203,Hz,-44.58
930666536,Hz,-44.76
930999869,Hz,-47.2
931333202,Hz,-57.37
931666535,Hz,-64.17
931999868,Hz,-63.86
932333201,Hz,-65.41
932666534,Hz,-65.24
932999867,Hz,-65.33
933333200,Hz,-65.83
933666533,Hz,-64.69
933999866,Hz,-65.54
934333199,Hz,-57.08
934666532,Hz,-48.94
934999865,Hz,-45.58
935333198,Hz,-45.25
935666531,Hz,-45.37
935999864,Hz,-48.11
936333197,Hz,-58.01
936666530,Hz,-65.06
936999863,Hz,-64.22
937333196,Hz,-65.86
937666529,Hz,-65.43
937999862,Hz,-65.84
938333195,Hz,-64.96
938666528,Hz,-64.6
938999861,Hz,-64.52
939333194,Hz,-56.48
939666527,Hz,-49.76
939999860,Hz,-46.48
940333193,Hz,-46.29
940666526,Hz,-46.77
940999859,Hz,-48.82
941333192,Hz,-58.86
941666525,Hz,-63.31
941999858,Hz,-64.53
942333191,Hz,-65.12
942666524,Hz,-65.06
942999857,Hz,-64.38
943333190,Hz,-65.77
943666523,Hz,-64.47
943999856,Hz,-63.94
944333189,Hz,-57.02
944666522,Hz,-49.71
944999855,Hz,-45.98
945333188,Hz,-46.01
945666521,Hz,-46.68
945999854,Hz,-48.9
946333187,Hz,-58.59
946666520,Hz,-65.24
946999853,Hz,-65.55
947333186,Hz,-64.85
947666519,Hz,-64.08
947999852,Hz,-64.26
948333185,Hz,-63.62
948666518,Hz,-63.51
948999851,Hz,-63.92
949333184,Hz,-55.63
949666517,Hz,-48.53
949999850,Hz,-45.26
950333183,Hz,-44.83
950666516,Hz,-45.48
950999849,Hz,-48.07
951333182,Hz,-57.12
951666515,Hz,-65.34
951999848,Hz,-64.01
952333181,Hz,-65.52
952666514,Hz,-63.77
952999847,Hz,-63.5
953333180,Hz,-64.91
953666513,Hz,-64.77
953999846,Hz,-63.63
954333179,Hz,-55.15
954666512,Hz,-47.75
954999845,Hz,-44.29
955333178,Hz,-44.14
955666511,Hz,-44.61
955999844,Hz,-46.85
956333177,Hz,-56.41
956666510,Hz,-64.61
956999843,Hz,-65.24
957333176,Hz,-65.44
957666509,Hz,-65.03
957999842,Hz,-64.61
958333175,Hz,-63.64
958666508,Hz,-65.44
958999841,Hz,-65.55
959333174,Hz,-56.13
959666507,Hz,-48.95
959999840,Hz,-45.39
960333173,Hz,-45.13
960666506,Hz,-45.58
960999839,Hz,-48.02
961333172,Hz,-58.84
961666505,Hz,-64.85
961999838,Hz,-64.93
962333171,Hz,-65.49
962666504,Hz,-65.34
962999837,Hz,-65.27
963333170,Hz,-65.52
963666503,Hz,-64.95
963999836,Hz,-64.39
964333169,Hz,-56.07
964666502,Hz,-49.75
964999835,Hz,-45.89
965333168,Hz,-45.72
965666501,Hz,-45.98
965999834,Hz,-48.68
966333167,Hz,-56.94
966666500,Hz,-64.08
966999833,Hz,-64.53
967333166,Hz,-64.42
967666499,Hz,-63.76
967999832,Hz,-64.79
968333165,Hz,-64.66
968666498,Hz,-63.71
968999831,Hz,-63.55
969333164,Hz,-57.43
969666497,Hz,-50.34
969999830,Hz,-46.33
970333163,Hz,-46.23
970666496,Hz,-46.79
970999829,Hz,-48.73
971333162,Hz,-58.27
971666495,Hz,-65.04
971999828,Hz,-64.96
972333161,Hz,-65.31
972666494,Hz,-64.99
972999827,Hz,-64.9
973333160,Hz,-64.62
973666493,Hz,-65.47
973999826,Hz,-65.64
974333159,Hz,-56.58
974666492,Hz,-50.94
974999825,Hz,-48.19
975333158,Hz,-47.76
975666491,Hz,-48.39
975999824,Hz,-50.41
976333157,Hz,-60.35
976666490,Hz,-64.94
976999823,Hz,-65.01
977333156,Hz,-64.91
977666489,Hz,-64.55
977999822,Hz,-65.4
978333155,Hz,-64.08
978666488,Hz,-64.86
978999821,Hz,-64.98
979333154,Hz,-59.65
979666487,Hz,-52.61
979999820,Hz,-49.43
980333153,Hz,-48.99
980666486,Hz,-50.15
980999819,Hz,-52.32
981333152,Hz,-59.26
981666485,Hz,-63.94
981999818,Hz,-64.17
982333151,Hz,-64.88
982666484,Hz,-63.99
982999817,Hz,-65.09
983333150,Hz,-63.93
983666483,Hz,-63.72
983999816,Hz,-63.8
984333149,Hz,-59.83
984666482,Hz,-52.39
984999815,Hz,-48.88
985333148,Hz,-48.54
985666481,Hz,-48.91
985999814,Hz,-51.57
986333147,Hz,-60.59
986666480,Hz,-65.86
986999813,Hz,-64.02
987333146,Hz,-63.52
987666479,Hz,-63.93
987999812,Hz,-64.65
988333145,Hz,-63.7
988666478,Hz,-64.91
988999811,Hz,-63.65
989333144,Hz,-59.42
989666477,Hz,-54.04
989999810,Hz,-50.2
990333143,Hz,-50.2
990666476,Hz,-50.87
990999809,Hz,-53.77
991333142,Hz,-61.46
991666475,Hz,-64.81
991999808,Hz,-64.39
992333141,Hz,-65.36
992666474,Hz,-63.81
992999807,Hz,-63.82
993333140,Hz,-64.93
993666473,Hz,-64.64
993999806,Hz,-63.04
994333139,Hz,-62.03
994666472,Hz,-56.32
994999805,Hz,-52.69
995333138,Hz,-51.95
995666471,Hz,-51.83
995999804,Hz,-54.77
996333137,Hz,-62.51
996666470,Hz,-65.7
996999803,Hz,-64.56
997333136,Hz,-64.67
997666469,Hz,-64.42
997999802,Hz,-63.83
998333135,Hz,-65.04
998666468,Hz,-64.51
998999801,Hz,-64.17
999333134,Hz,-63.75
999666467,Hz,-58.05
999999800,Hz,-55.15
,,-58.9831614
