Trace1,,
Freq,,Amp
800000000,Hz,-34.42
800333333,Hz,-33.99
800666666,Hz,-34.31
800999999,Hz,-36.55
801333332,Hz,-46
801666665,Hz,-60.14
801999998,Hz,-64.74
802333331,Hz,-64.63
802666664,Hz,-64.47
802999997,Hz,-64.87
803333330,Hz,-63.93
803666663,Hz,-63.12
803999996,Hz,-58.78
804333329,Hz,-45.31
804666662,Hz,-37.42
804999995,Hz,-33.8
805333328,Hz,-33.42
805666661,Hz,-33.84
805999994,Hz,-36.23
806333327,Hz,-46.29
806666660,Hz,-58.13
806999993,Hz,-64.45
807333326,Hz,-65.05
807666659,Hz,-64.9
807999992,Hz,-63.72
808333325,Hz,-63.47
808666658,Hz,-64.64
808999991,Hz,-58.03
809333324,Hz,-44.82
809666657,Hz,-37.22
809999990,Hz,-33.76
810333323,Hz,-33.53
810666656,Hz,-34.01
810999989,Hz,-36.52
811333322,Hz,-46.77
811666655,Hz,-59.48
811999988,Hz,-64.07
812333321,Hz,-64.23
812666654,Hz,-64.19
812999987,Hz,-63.59
813333320,Hz,-64.53
813666653,Hz,-64.05
813999986,Hz,-58.92
814333319,Hz,-45.26
814666652,Hz,-37.33
814999985,Hz,-33.94
815333318,Hz,-33.74
815666651,Hz,-34.11
815999984,Hz,-36.56
816333317,Hz,-46.68
816666650,Hz,-59.46
816999983,Hz,-63.7
817333316,Hz,-64.14
817666649,Hz,-64.3
817999982,Hz,-64.79
818333315,Hz,-63.97
818666648,Hz,-63.99
818999981,Hz,-57.1
819333314,Hz,-43.84
819666647,Hz,-35.86
819999980,Hz,-32.49
820333313,Hz,-32.25
820666646,Hz,-32.83
820999979,Hz,-35.13
821333312,Hz,-45.76
821666645,Hz,-57.84
821999978,Hz,-64.63
822333311,Hz,-64.57
822666644,Hz,-64.98
822999977,Hz,-64.81
823333310,Hz,-62.93
823666643,Hz,-64.37
823999976,Hz,-55.68
824333309,Hz,-42.6
824666642,Hz,-34.47
824999975,Hz,-31.19
825333308,Hz,-31.05
825666641,Hz,-31.42
825999974,Hz,-33.91
826333307,Hz,-44.34
826666640,Hz,-56.95
826999973,Hz,-64.1
827333306,Hz,-63.96
827666639,Hz,-64.36
827999972,Hz,-64.98
828333305,Hz,-65.4
828666638,Hz,-64.32
828999971,Hz,-54.67
829333304,Hz,-41.68
829666637,Hz,-33.98
829999970,Hz,-30.48
830333303,Hz,-30.29
830666636,Hz,-30.77
830999969,Hz,-33.23
831333302,Hz,-43.56
831666635,Hz,-57.03
831999968,Hz,-64.53
832333301,Hz,-64.02
832666634,Hz,-64.43
832999967,Hz,-64.36
833333300,Hz,-64.93
833666633,Hz,-63.72
833999966,Hz,-54.42
834333299,Hz,-40.99
834666632,Hz,-33.26
834999965,Hz,-29.86
835333298,Hz,-29.7
835666631,Hz,-30.17
835999964,Hz,-32.64
836333297,Hz,-42.99
836666630,Hz,-56.56
836999963,Hz,-64.49
837333296,Hz,-64.45
837666629,Hz,-63.87
837999962,Hz,-64.25
838333295,Hz,-63.92
838666628,Hz,-65.25
838999961,Hz,-54.25
839333294,Hz,-40.97
839666627,Hz,-33.28
839999960,Hz,-29.74
840333293,Hz,-29.53
840666626,Hz,-30.03
840999959,Hz,-32.52
841333292,Hz,-43.1
841666625,Hz,-56.11
841999958,Hz,-65.06
842333291,Hz,-64.29
842666624,Hz,-64.57
842999957,Hz,-64.46
843333290,Hz,-64.33
843666623,Hz,-64.43
843999956,Hz,-53.92
844333289,Hz,-41.67
844666622,Hz,-33.91
844999955,Hz,-30.55
845333288,Hz,-30.31
845666621,Hz,-30.87
845999954,Hz,-33.31
846333287,Hz,-43.93
846666620,Hz,-56.34
846999953,Hz,-64.38
847333286,Hz,-64.66
847666619,Hz,-64.31
847999952,Hz,-64.59
848333285,Hz,-64.62
848666618,Hz,-64.34
848999951,Hz,-54.94
849333284,Hz,-44.13
849666617,Hz,-35.65
849999950,Hz,-31.5
850333283,Hz,-31.29
850666616,Hz,-31.65
850999949,Hz,-33.96
851333282,Hz,-43.59
851666615,Hz,-56.84
851999948,Hz,-62.02
852333281,Hz,-63.62
852666614,Hz,-64.04
852999947,Hz,-64.34
853333280,Hz,-64.48
853666613,Hz,-64.62
853999946,Hz,-57.53
854333279,Hz,-43.9
854666612,Hz,-36.01
854999945,Hz,-32.32
855333278,Hz,-32.07
855666611,Hz,-32.55
855999944,Hz,-34.86
856333277,Hz,-45.37
856666610,Hz,-58.55
856999943,Hz,-64.51
857333276,Hz,-64.83
857666609,Hz,-64.43
857999942,Hz,-63.97
858333275,Hz,-64.45
858666608,Hz,-64.08
858999941,Hz,-57.8
859333274,Hz,-44.75
859666607,Hz,-36.86
859999940,Hz,-33.56
860333273,Hz,-33.27
860666606,Hz,-33.68
860999939,Hz,-36.18
861333272,Hz,-46.51
861666605,Hz,-59.3
861999938,Hz,-63.25
862333271,Hz,-63.52
862666604,Hz,-61.75
862999937,Hz,-59.86
863333270,Hz,-60.78
863666603,Hz,-62.28
863999936,Hz,-59.53
864333269,Hz,-47.25
864666602,Hz,-39.58
864999935,Hz,-36.25
865333268,Hz,-36.02
865666601,Hz,-36.35
865999934,Hz,-38.85
866333267,Hz,-48.94
