Trace1,,
Freq,,Amp
800000000,Hz,-52.25
800333333,Hz,-51.67
800666666,Hz,-52.07
800999999,Hz,-53.86
801333332,Hz,-62.41
801666665,Hz,-65.84
801999998,Hz,-65.99
802333331,Hz,-66.32
802666664,Hz,-66.04
802999997,Hz,-65.9
803333330,Hz,-65.42
803666663,Hz,-65.79
803999996,Hz,-65.13
804333329,Hz,-62.3
804666662,Hz,-56.35
804999995,Hz,-52.81
805333328,Hz,-52.9
805666661,Hz,-53.09
805999994,Hz,-55.76
806333327,Hz,-62.87
806666660,Hz,-64.38
806999993,Hz,-63.77
807333326,Hz,-66.14
807666659,Hz,-65.82
807999992,Hz,-65.56
808333325,Hz,-65.78
808666658,Hz,-65.85
808999991,Hz,-65.65
809333324,Hz,-64.08
809666657,Hz,-58.87
809999990,Hz,-55.43
810333323,Hz,-54.91
810666656,Hz,-55.33
810999989,Hz,-57.11
811333322,Hz,-64.26
811666655,Hz,-66.53
811999988,Hz,-65.38
812333321,Hz,-66.58
812666654,Hz,-66.23
812999987,Hz,-64.17
813333320,Hz,-65.91
813666653,Hz,-66.04
813999986,Hz,-65.65
814333319,Hz,-64.5
814666652,Hz,-61.59
814999985,Hz,-58.56
815333318,Hz,-57.65
815666651,Hz,-58.09
815999984,Hz,-59.22
816333317,Hz,-64.75
816666650,Hz,-64.87
816999983,Hz,-65.93
817333316,Hz,-66.21
817666649,Hz,-65.79
817999982,Hz,-65.8
818333315,Hz,-65.99
818666648,Hz,-65.37
818999981,Hz,-65.57
819333314,Hz,-64.94
819666647,Hz,-58.75
819999980,Hz,-56.01
820333313,Hz,-55.59
820666646,Hz,-56.14
820999979,Hz,-58.54
821333312,Hz,-65.46
821666645,Hz,-66
821999978,Hz,-65.72
822333311,Hz,-66.23
822666644,Hz,-66
822999977,Hz,-64.51
823333310,Hz,-65.13
823666643,Hz,-65.52
823999976,Hz,-65.32
824333309,Hz,-60.09
824666642,Hz,-53.94
824999975,Hz,-50.34
825333308,Hz,-50.24
825666641,Hz,-50.94
825999974,Hz,-53.26
826333307,Hz,-62.04
826666640,Hz,-64.64
826999973,Hz,-65.94
827333306,Hz,-67.28
827666639,Hz,-65.8
827999972,Hz,-65.19
828333305,Hz,-65.17
828666638,Hz,-65.37
828999971,Hz,-66.74
829333304,Hz,-57.9
829666637,Hz,-51.07
829999970,Hz,-47.52
830333303,Hz,-47.18
830666636,Hz,-47.81
830999969,Hz,-50.25
831333302,Hz,-58.51
831666635,Hz,-66.11
831999968,Hz,-66.35
832333301,Hz,-64.58
832666634,Hz,-64.73
832999967,Hz,-66.33
833333300,Hz,-66.1
833666633,Hz,-65.13
833999966,Hz,-64.6
834333299,Hz,-57.7
834666632,Hz,-50.14
834999965,Hz,-46.75
835333298,Hz,-46.36
835666631,Hz,-47.04
835999964,Hz,-49.32
836333297,Hz,-59.36
836666630,Hz,-66.9
836999963,Hz,-66.65
837333296,Hz,-65.12
837666629,Hz,-66
837999962,Hz,-66.33
838333295,Hz,-66.01
838666628,Hz,-65.64
838999961,Hz,-65.89
839333294,Hz,-56.64
839666627,Hz,-49.6
839999960,Hz,-46.3
840333293,Hz,-45.82
840666626,Hz,-46.25
840999959,Hz,-48.73
841333292,Hz,-58.13
841666625,Hz,-66.22
841999958,Hz,-65.59
842333291,Hz,-66.15
842666624,Hz,-65.29
842999957,Hz,-65.71
843333290,Hz,-66.55
843666623,Hz,-65.56
843999956,Hz,-64.5
844333289,Hz,-55.56
844666622,Hz,-48.16
844999955,Hz,-44.8
845333288,Hz,-44.46
845666621,Hz,-44.9
845999954,Hz,-47.74
846333287,Hz,-56.97
846666620,Hz,-65.98
846999953,Hz,-65.8
847333286,Hz,-65.36
847666619,Hz,-65.08
847999952,Hz,-64.61
848333285,Hz,-65
848666618,Hz,-66.02
848999951,Hz,-63.29
849333284,Hz,-55.93
849666617,Hz,-47.74
849999950,Hz,-43.86
850333283,Hz,-43.82
850666616,Hz,-43.91
850999949,Hz,-46.61
851333282,Hz,-55.71
851666615,Hz,-65.38
851999948,Hz,-65.27
852333281,Hz,-66.18
852666614,Hz,-66.07
852999947,Hz,-65.61
853333280,Hz,-65.19
853666613,Hz,-65.78
853999946,Hz,-64.86
854333279,Hz,-56.3
854666612,Hz,-48.73
854999945,Hz,-45.12
855333278,Hz,-44.93
855666611,Hz,-45.21
855999944,Hz,-47.73
856333277,Hz,-58.04
856666610,Hz,-66.15
856999943,Hz,-65.22
857333276,Hz,-64.99
857666609,Hz,-66.28
857999942,Hz,-64.73
858333275,Hz,-65.62
858666608,Hz,-65.27
858999941,Hz,-63.66
859333274,Hz,-58.91
859666607,Hz,-51.57
859999940,Hz,-48.03
860333273,Hz,-47.75
860666606,Hz,-48.33
860999939,Hz,-51.11
861333272,Hz,-60.1
861666605,Hz,-65.65
861999938,Hz,-65.07
862333271,Hz,-64.27
862666604,Hz,-63.02
862999937,Hz,-62.49
863333270,Hz,-63.22
863666603,Hz,-63.56
863999936,Hz,-63.14
864333269,Hz,-60.4
864666602,Hz,-54.2
864999935,Hz,-51.1
865333268,Hz,-50.86
865666601,Hz,-51.54
865999934,Hz,-53.19
866333267,Hz,-58.81
866666600,Hz,-58.92
866999933,Hz,-59.98
867333266,Hz,-60.69
867666599,Hz,-59.4
867999932,Hz,-59.52
868333265,Hz,-59.88
868666598,Hz,-60.96
868999931,Hz,-62.2
869333264,Hz,-62.03
869666597,Hz,-54.63
869999930,Hz,-51.46
870333263,Hz,-51.6
870666596,Hz,-51.35
870999929,Hz,-53.87
871333262,Hz,-58.28
871666595,Hz,-60.01
871999928,Hz,-60.17
872333261,Hz,-61.33
872666594,Hz,-61.06
872999927,Hz,-61.21
873333260,Hz,-64.05
