Trace1,,
Freq,,Amp
800000000,Hz,-52.3
800333333,Hz,-51.75
800666666,Hz,-52.15
800999999,Hz,-53.91
801333332,Hz,-62.69
801666665,Hz,-65.65
801999998,Hz,-65.94
802333331,Hz,-66.32
802666664,Hz,-65.83
802999997,Hz,-65.37
803333330,Hz,-66.66
803666663,Hz,-65.88
803999996,Hz,-66.38
804333329,Hz,-62.04
804666662,Hz,-56.56
804999995,Hz,-53.01
805333328,Hz,-52.42
805666661,Hz,-53.03
805999994,Hz,-55.52
806333327,Hz,-61.05
806666660,Hz,-66.3
806999993,Hz,-66.16
807333326,Hz,-65.76
807666659,Hz,-63.94
807999992,Hz,-65.5
808333325,Hz,-66.33
808666658,Hz,-65.73
808999991,Hz,-65.33
809333324,Hz,-62.11
809666657,Hz,-58.66
809999990,Hz,-54.72
810333323,Hz,-54.54
810666656,Hz,-55.11
810999989,Hz,-57.39
811333322,Hz,-63.66
811666655,Hz,-65.78
811999988,Hz,-65.97
812333321,Hz,-64.97
812666654,Hz,-64.75
812999987,Hz,-65.49
813333320,Hz,-66.03
813666653,Hz,-64.33
813999986,Hz,-65.65
814333319,Hz,-63.35
814666652,Hz,-58.99
814999985,Hz,-55.24
815333318,Hz,-55.59
815666651,Hz,-56.28
815999984,Hz,-58.67
816333317,Hz,-65.86
816666650,Hz,-64.71
816999983,Hz,-65.09
817333316,Hz,-66.23
817666649,Hz,-65.32
817999982,Hz,-65.37
818333315,Hz,-66.52
818666648,Hz,-65.79
818999981,Hz,-65.05
819333314,Hz,-61.9
819666647,Hz,-56.56
819999980,Hz,-53.59
820333313,Hz,-53.22
820666646,Hz,-54.06
820999979,Hz,-56.96
821333312,Hz,-64.26
821666645,Hz,-66.14
821999978,Hz,-66.03
822333311,Hz,-66.74
822666644,Hz,-64.45
822999977,Hz,-66.08
823333310,Hz,-66.15
823666643,Hz,-65.6
823999976,Hz,-65.1
824333309,Hz,-59.56
824666642,Hz,-53.04
824999975,Hz,-49.76
825333308,Hz,-49.64
825666641,Hz,-50.12
825999974,Hz,-52.49
826333307,Hz,-60.7
826666640,Hz,-64.68
826999973,Hz,-65.35
827333306,Hz,-65.38
827666639,Hz,-65.31
827999972,Hz,-65.28
828333305,Hz,-66.05
828666638,Hz,-65.73
828999971,Hz,-66.12
829333304,Hz,-58.12
829666637,Hz,-50.84
829999970,Hz,-47.43
830333303,Hz,-47.1
830666636,Hz,-47.48
830999969,Hz,-50.1
831333302,Hz,-59.84
831666635,Hz,-65.88
831999968,Hz,-64.82
832333301,Hz,-65.26
832666634,Hz,-65.77
832999967,Hz,-65.86
833333300,Hz,-65.67
